Time,Value
1687036988225211917,6.31
1687036988226208356,6.31
1687036988227207940,6.31
1687036988228203818,6.31
1687036988229202932,6.31
1687036988308207337,6.31
1687036988309207643,6.31
1687036988310204463,6.31
1687036988311205911,6.31
1687036988312204083,6.31
1687036988313206893,6.31
1687036988314204053,6.31
1687036988315205311,6.31
1687036988316204545,6.31
1687036988317201555,6.31
1687036988318202522,6.31
1687036988319208078,6.31
1687036988320203254,6.31
1687036988321203009,6.31
1687036988322203586,6.31
1687036988323212869,6.31
1687036988324208225,6.31
1687036988325201568,6.31
1687036988326204088,6.31
1687036988327195758,6.31
1687036988328221071,6.31
1687036988329208994,6.31
1687036988330206344,6.31
1687036988331206139,6.31
1687036988332217857,6.31
1687036988333203164,6.31
1687036988334200174,6.31
1687036988335206401,6.31
1687036988336208290,6.31
1687036988337200381,6.31
1687036988338199935,6.31
1687036988339202606,6.31
1687036988340206679,6.31
1687036988341207666,6.31
1687036988342199957,6.31
1687036988343203429,6.31
1687036988344206380,6.31
1687036988345201236,6.31
1687036988346200760,6.31
1687036988347216665,6.31
1687036988348202434,6.31
1687036988349202209,6.31
1687036988350205491,6.31
1687036988351205747,6.31
1687036988352207716,6.31
1687036988353202441,6.31
1687036988354200493,6.31
1687036988355195108,6.31
1687036988356211825,6.31
1687036988357203104,6.31
1687036988358200625,6.31
1687036988359207343,6.31
1687036988360216105,6.31
1687036988361211592,6.31
1687036988362201288,6.31
1687036988363198979,6.31
1687036988364207921,6.31
1687036988365203248,6.31
1687036988366197763,6.31
1687036988367199832,6.31
1687036988368210628,6.31
1687036988369203850,6.31
1687036988370196081,6.31
1687036988371203130,6.31
1687036988372200630,6.31
1687036988373206307,6.31
1687036988374201423,6.31
1687036988375207199,6.31
1687036988376212605,6.31
1687036988377201068,6.31
1687036988378201104,6.31
1687036988379201199,6.31
1687036988380202958,6.31
1687036988381202913,6.31
1687036988382199763,6.31
1687036988383202063,6.31
1687036988384201667,6.31
1687036988385200611,6.31
1687036988386200235,6.31
1687036988387194530,6.31
1687036988388210345,6.31
1687036988389202686,6.31
1687036988390200928,nan
1687036988393207677,6.31
1687036988394199117,6.31
1687036988395207588,6.31
1687036988396209407,6.31
1687036988397203992,6.31
1687036988398200300,6.31
1687036988399201167,6.31
1687036988400209078,6.31
1687036988401212249,6.31
1687036988402196705,6.31
1687036988403201209,6.31
1687036988404205793,6.31
1687036988405202222,6.31
1687036988406206796,6.31
1687036988407209156,6.31
1687036988408209341,6.31
1687036988409204868,6.31
1687036988410197770,6.31
1687036988411204619,6.31
1687036988412208111,6.31
1687036988413203257,6.31
1687036988414201619,6.31
1687036988415213237,6.31
1687036988416203854,6.31
1687036988417201014,6.31
1687036988418201861,6.31
1687036988419200524,6.31
1687036988420209456,6.31
1687036988421201687,6.31
1687036988422204278,6.31
1687036988423195577,6.31
1687036988424211602,6.31
1687036988425213190,6.31
1687036988426203357,6.31
1687036988427208092,6.31
1687036988428206474,6.31
1687036988429206409,6.31
1687036988430201646,6.31
1687036988431200890,6.31
1687036988432207237,6.31
1687036988433203395,6.31
1687036988434195576,6.31
1687036988435198687,6.31
1687036988436199725,6.31
1687036988437200411,6.31
1687036988438198754,6.31
1687036988439197196,6.31
1687036988440207801,6.31
1687036988441201265,6.31
1687036988442201000,6.31
1687036988443202818,6.31
1687036988444212011,6.31
1687036988445207017,6.31
1687036988446200370,6.31
1687036988447203621,6.31
1687036988448206562,6.31
1687036988449202490,6.31
1687036988450201774,6.31
1687036988451203002,6.31
1687036988452202046,6.31
1687036988453203494,6.31
1687036988454204842,6.31
1687036988455211169,6.31
1687036988456210924,6.31
1687036988457207613,6.31
1687036988458201938,6.31
1687036988459195391,6.31
1687036988460202079,6.31
