Time,Value
1687035601199659057,6.33
1687035601200657249,6.33
1687035601201654129,6.33
1687035601202647281,6.33
1687035601203650633,6.34
1687035601204650358,6.33
1687035601205656344,6.34
1687035601206657562,6.34
1687035601207645184,6.34
1687035601208647654,6.34
1687035601209645005,6.33
1687035601210650110,6.34
1687035601211642891,6.34
1687035601212647035,6.33
1687035601213647802,6.33
1687035601214654570,6.34
1687035601215644466,6.33
1687035601216648148,6.33
1687035601217644828,6.33
1687035601218650634,6.33
1687035601219648115,6.33
1687035601220641417,6.33
1687035601221649097,6.33
1687035601222635687,6.33
1687035601223647575,6.33
1687035601224642221,6.33
1687035601225635734,6.33
1687035601226640378,6.33
1687035601227654169,6.33
1687035601228649876,6.33
1687035601229640013,6.33
1687035601230641011,6.33
1687035601231649873,6.33
1687035601232643937,6.33
1687035601233650214,6.33
1687035601234647354,6.33
1687035601235641909,6.33
1687035601236644600,6.33
1687035601237646399,6.33
1687035601238646284,6.33
1687035601239646219,6.33
1687035601240644371,6.33
1687035601241648905,6.33
1687035601242647969,6.33
1687035601243644207,6.33
1687035601244640796,6.33
1687035601245645731,6.33
1687035601246650375,6.33
1687035601247644609,6.33
1687035601248643152,6.33
1687035601249647335,6.33
1687035601250643463,6.33
1687035601251636676,6.33
1687035601252645207,6.33
1687035601253640835,6.33
1687035601254657451,6.33
1687035601255645194,6.33
1687035601256649167,6.33
1687035601257646637,6.33
1687035601258648546,6.33
1687035601259648582,6.33
1687035601260654077,6.33
1687035601261640377,6.33
1687035601262640112,6.33
1687035601263642011,6.33
1687035601264650091,6.33
1687035601265645198,6.33
1687035601266638440,6.33
1687035601267646862,6.33
1687035601268645685,6.33
1687035601269645520,6.33
1687035601270640476,6.33
1687035601271640311,6.33
1687035601272643282,6.33
1687035601273640682,6.33
1687035601274648172,6.33
1687035601275647326,6.33
1687035601276642182,6.33
1687035601277647286,6.33
1687035601278649055,6.33
1687035601279649021,6.33
1687035601280650358,6.33
1687035601281656205,nan
1687035601284645180,6.33
1687035601285648612,6.33
1687035601286644660,6.33
1687035601287646830,6.33
1687035601288646454,6.33
1687035601289647382,6.33
1687035601290646746,6.33
1687035601291636492,6.33
1687035601292652738,6.33
1687035601293652022,6.33
