Time,Value
1687035442898594468,6.33
1687035442899577872,6.33
1687035442900591243,6.33
1687035442901594595,6.33
1687035442902577999,6.33
1687035442903576842,6.33
1687035442904570726,6.33
1687035442905581421,6.33
1687035442906578832,6.33
1687035442907574830,6.33
1687035442908584824,6.33
1687035442909591231,6.33
1687035442910577150,6.33
1687035442911577416,6.33
1687035442912570869,6.33
1687035442913578539,6.33
1687035442914575459,6.33
1687035442915570946,6.33
1687035442916572534,6.33
1687035442917581056,6.33
1687035442918578186,6.33
1687035442919586336,6.33
1687035442920589888,6.33
1687035442921581308,6.33
1687035442922588507,6.33
1687035442923580467,6.33
1687035442924587606,6.33
1687035442925581660,6.33
1687035442926576275,6.33
1687035442927574547,6.33
1687035442928571096,6.33
1687035442929577544,6.33
1687035442930575656,6.33
1687035442931575220,6.33
1687035442932574725,6.33
1687035442933583547,6.33
1687035442934580997,6.33
1687035442935575292,6.33
1687035442936571350,6.33
1687035442937576736,6.33
1687035442938578915,6.33
1687035442939597806,6.33
1687035442940581391,6.33
1687035442941576657,6.33
1687035442942584798,6.33
1687035442943581216,6.33
1687035442944580521,6.33
1687035442945579113,6.33
1687035442946589488,6.33
1687035442947577231,6.33
1687035442948576905,6.33
1687035442949583102,6.33
1687035442950583689,6.33
1687035442951575860,6.33
1687035442952582658,6.33
1687035442953587753,6.33
1687035442954589181,6.33
1687035442955588575,6.33
1687035442956584082,6.33
1687035442957582284,6.33
1687035442958576509,6.33
1687035442959579009,6.33
1687035442960575878,6.33
1687035442961579641,6.33
1687035442962576871,6.33
1687035442963577918,6.33
1687035442964577182,6.33
1687035442965578210,6.33
1687035442966577273,6.33
1687035442967583551,6.33
1687035442968577585,6.33
1687035442969576959,6.33
1687035442970579259,6.33
1687035442971579615,6.33
1687035442972589389,6.33
1687035442973583523,6.33
1687035442974589329,6.33
1687035442975584586,6.33
1687035442976579101,6.33
1687035442977589947,6.33
1687035442978580875,6.33
1687035442979583315,6.33
1687035442980582148,nan
1687035442983578558,6.33
1687035442984580447,6.33
1687035442985578548,6.33
1687035442986584295,6.33
1687035442987576696,6.33
1687035442988588523,6.33
1687035442989582277,6.33
1687035442990583264,6.33
1687035442991582057,6.33
1687035442992585399,6.33
1687035442993588150,6.33
1687035442994587574,6.33
1687035442995580656,6.33
1687035442996578838,6.33
1687035442997577131,6.33
1687035442998578849,6.33
1687035442999579235,6.33
1687035443000577257,6.33
1687035443001577353,6.33
1687035443002577759,6.33
1687035443003575991,6.33
1687035443004579443,6.33
1687035443005578306,6.33
1687035443006583561,6.33
1687035443007577265,6.33
1687035443008572041,6.33
1687035443009580291,6.33
1687035443010577812,6.33
1687035443011575874,6.33
1687035443012578043,6.33
1687035443013588288,6.33
1687035443014571873,6.33
1687035443015577499,6.33
1687035443016576893,6.33
1687035443017576788,6.33
1687035443018585029,6.33
1687035443019576739,6.33
1687035443020569601,6.33
1687035443021581258,6.33
1687035443022574872,6.33
1687035443023578123,6.33
1687035443024574562,6.33
1687035443025578715,6.33
1687035443026581035,6.33
1687035443027583855,6.33
1687035443028573451,6.33
1687035443029590759,6.33
