Time,Value
1687040550854672720,6.94
1687040550855655614,6.94
1687040550856660899,6.94
1687040550857650815,6.94
1687040550858658355,6.94
1687040550859656707,6.94
1687040550860670979,6.94
1687040550861663250,6.94
1687040550862657355,6.94
1687040550863663061,6.94
1687040550864656434,6.94
1687040550865655217,6.94
1687040550866663949,6.94
1687040550867653124,6.94
1687040550868655975,6.94
1687040550869652033,6.94
1687040550870653290,6.94
1687040550871649949,6.94
1687040550872649163,6.94
1687040550873649329,6.94
1687040550874653693,6.94
1687040550875653778,6.94
1687040550876650277,6.94
1687040550877652567,6.94
1687040550878656009,6.94
1687040550879655613,6.94
1687040550880655609,6.94
1687040550881650184,6.94
1687040550882651241,6.94
1687040550883649534,6.94
1687040550884652645,6.94
1687040550885650827,6.94
1687040550886651043,6.94
1687040550887655086,6.94
1687040550888649200,6.94
1687040550889654345,6.94
1687040550890649742,6.94
1687040550891652552,6.94
1687040550892666825,6.94
1687040550893669685,6.94
1687040550894670733,6.94
1687040550895665879,6.94
1687040550896657128,6.94
1687040550897675638,6.94
1687040550898667138,6.94
1687040550899655792,6.94
1687040550900651780,6.94
1687040550901653659,6.94
1687040550902654065,6.94
1687040550903659961,6.94
1687040550904651170,6.94
1687040550905661836,6.94
1687040550906653816,6.94
1687040550907658731,6.94
1687040550908659297,6.94
1687040550909660635,6.94
1687040550910656322,6.94
1687040550911657320,6.94
1687040550912659639,6.94
1687040550913661458,6.94
1687040550914656995,6.94
1687040550915648314,6.94
1687040550916654992,6.94
1687040550917666549,6.94
1687040550918654232,6.94
1687040550919664667,6.94
1687040550920657188,6.94
1687040550921651593,6.94
1687040550922652380,6.94
1687040550923646825,6.94
1687040550924656779,6.94
1687040550925655642,6.94
1687040550926658954,6.94
1687040550927656284,6.94
1687040550928654696,6.94
1687040550929659010,6.94
1687040550930660799,6.94
1687040550931653260,6.94
1687040550932664146,6.94
1687040550933654924,6.94
1687040550934644430,6.94
1687040550935656568,6.94
1687040550936672653,nan
1687040550939657261,6.94
1687040550940656885,6.94
1687040550941650759,6.94
1687040550942654181,6.94
1687040550943653976,6.94
1687040550944656907,6.94
1687040550945658405,6.94
1687040550946653231,6.94
1687040550947661422,6.94
1687040550948649665,6.94
1687040550949662445,6.94
1687040550950655777,6.94
1687040550951653559,6.94
1687040550952652642,6.94
1687040550953659200,6.94
1687040550954656671,6.94
1687040550955656977,6.94
1687040550956654548,6.94
1687040550957663079,6.94
1687040550958656883,6.94
1687040550959657459,6.94
1687040550960651694,6.94
1687040550961660576,6.94
1687040550962658477,6.94
1687040550963663242,6.94
1687040550964659580,6.94
1687040550965657933,6.94
1687040550966654341,6.94
1687040550967650369,6.94
1687040550968654522,6.94
1687040550969662383,6.94
1687040550970653040,6.94
1687040550971653487,6.94
1687040550972661166,6.94
1687040550973657485,6.94
1687040550974658963,6.94
1687040550975666803,6.94
1687040550976658774,6.94
1687040550977656936,6.94
1687040550978658464,6.94
1687040550979658028,6.94
1687040550980654908,6.94
1687040550981651066,6.94
1687040550982655039,6.94
1687040550983650756,6.94
1687040550984657354,6.94
1687040550985655496,6.94
1687040550986651123,6.94
1687040550987648504,6.94
1687040550988658408,6.94
1687040550989658664,6.94
1687040550990654662,6.94
1687040550991657162,6.94
1687040550992658279,6.94
1687040550993656692,6.94
1687040550994658751,6.94
1687040550995658386,6.94
1687040550996649975,6.94
1687040550997660410,6.94
1687040550998653723,6.94
1687040550999660511,6.94
1687040551000656589,6.94
1687040551001657767,6.94
1687040551002657351,6.94
1687040551003653189,6.94
1687040551004658054,6.94
1687040551005650926,6.94
1687040551006654247,6.94
1687040551007654453,6.94
1687040551008654158,6.94
1687040551009657800,6.94
1687040551010658397,6.94
1687040551011651068,6.94
1687040551012661824,6.94
1687040551013657872,6.94
1687040551014660783,6.94
1687040551015653204,6.94
1687040551016656275,6.94
1687040551017657673,6.94
1687040551018656657,6.94
1687040551019653366,6.94
1687040551020651378,6.94
1687040551021656072,6.94
1687040551022659113,6.94
1687040551023659509,6.94
1687040551024656549,6.94
1687040551025654230,6.94
1687040551026659145,6.94
1687040551027656415,6.94
1687040551028656320,6.94
1687040551029653470,6.94
1687040551030656351,6.94
1687040551031653992,6.94
1687040551032648186,6.94
1687040551033652300,6.94
1687040551034654479,6.94
1687040551035653883,6.94
1687040551036654290,6.94
1687040551037653614,6.94
1687040551038657727,6.94
1687040551039651851,6.94
1687040551040657257,6.94
1687040551041656030,6.94
1687040551042654462,6.94
1687040551043656091,6.94
1687040551044657809,6.94
1687040551045656763,6.94
1687040551046657690,6.94
1687040551047647857,6.94
1687040551048658402,6.94
1687040551049663497,6.94
1687040551050654626,6.94
1687040551051664590,6.94
1687040551052652503,6.94
1687040551053662847,6.94
1687040551054657743,6.94
1687040551055656376,6.94
1687040551056655630,6.94
1687040551057651949,6.94
1687040551058653066,6.94
1687040551059671286,6.94
1687040551060651514,6.94
1687040551061653483,6.94
1687040551062655292,6.94
1687040551063653494,6.94
1687040551064666033,6.94
1687040551065662191,6.94
1687040551066659191,6.94
1687040551067650179,6.94
1687040551068651407,6.94
1687040551069664076,6.94
1687040551070656407,6.94
1687040551071666011,6.94
1687040551072659764,6.94
1687040551073651614,6.94
1687040551074664464,6.94
1687040551075651485,6.94
1687040551076655258,6.94
1687040551077672535,6.94
1687040551078659416,6.94
1687040551079681192,6.94
1687040551080654698,6.94
1687040551081669261,6.94
1687040551082663315,6.94
1687040551083660445,6.94
1687040551084655251,6.94
1687040551085663482,6.94
1687040551086654851,6.94
1687040551087654385,6.94
1687040551088664830,6.94
1687040551089668423,6.94
1687040551090658650,6.94
1687040551091656521,6.94
1687040551092658520,6.94
1687040551093662493,6.94
1687040551094661186,6.94
1687040551095654940,6.94
1687040551096662860,6.94
1687040551097660681,6.94
1687040551098654265,6.94
1687040551099661884,6.94
1687040551100659756,6.94
1687040551101674839,6.94
1687040551102662812,6.94
1687040551103665803,6.94
1687040551104657002,6.94
1687040551105659492,6.94
1687040551106655220,6.94
1687040551107660415,6.94
1687040551108662945,6.94
1687040551109665926,6.94
1687040551110665551,6.94
1687040551111660497,6.94
1687040551112665461,6.94
1687040551113654727,6.94
1687040551114651316,6.94
1687040551115667812,6.94
1687040551116650956,6.94
1687040551117654808,6.94
1687040551118660735,6.94
1687040551119659237,6.94
1687040551120660565,6.94
1687040551121652576,6.94
1687040551122654825,6.94
1687040551123660101,6.94
1687040551124657080,6.94
1687040551125659230,6.94
1687040551126655308,6.94
1687040551127654983,6.94
1687040551128659517,6.94
1687040551129665273,6.94
1687040551130658075,6.94
1687040551131657128,6.94
1687040551132659859,6.94
1687040551133661908,6.94
1687040551134655181,6.94
1687040551135655276,6.94
1687040551136651595,6.94
1687040551137669895,6.94
1687040551138659050,6.94
1687040551139657362,6.94
1687040551140664461,6.94
1687040551141662923,6.94
1687040551142659753,6.94
1687040551143661862,6.94
1687040551144656968,6.94
1687040551145659078,6.94
1687040551146659203,6.94
1687040551147664178,6.94
1687040551148657651,6.94
1687040551149661153,6.94
1687040551150648505,6.94
1687040551151651065,6.94
1687040551152659767,6.94
1687040551153727529,6.94
1687040551154652414,6.94
1687040551155662158,6.94
1687040551156652254,6.94
1687040551157655927,6.94
1687040551158647837,6.94
1687040551159651840,6.94
1687040551160650743,6.94
1687040551161656900,6.94
1687040551162649882,6.94
1687040551163650018,6.94
1687040551164645625,6.94
1687040551165653535,6.94
1687040551166652058,6.94
1687040551167649889,6.94
1687040551168655736,6.94
1687040551169652655,6.94
1687040551170655346,6.94
1687040551171667284,6.94
1687040551172658202,6.94
1687040551173657927,6.94
1687040551174649817,6.94
1687040551175647468,6.94
1687040551176652783,6.94
1687040551177668258,6.94
1687040551178648206,6.94
1687040551179655755,6.94
1687040551180678453,6.94
1687040551181655385,6.94
1687040551182673875,6.94
1687040551183668431,6.94
1687040551184662094,6.94
1687040551185655597,6.94
1687040551186655603,6.94
1687040551187655368,6.94
1687040551188656435,6.94
1687040551189652533,6.94
1687040551190650605,6.94
1687040551191654788,6.94
1687040551192651047,6.94
1687040551193651994,6.94
1687040551194654314,6.94
1687040551195673224,6.94
1687040551196672098,6.94
1687040551197667394,6.94
1687040551198662070,6.94
1687040551199671713,6.94
1687040551200660588,6.94
1687040551201668618,6.94
1687040551202663133,6.94
1687040551203668268,6.94
1687040551204655320,6.94
1687040551205655455,6.94
1687040551206666351,6.94
1687040551207659313,6.94
1687040551208656543,6.94
1687040551209652732,6.94
1687040551210664088,6.94
1687040551211663443,6.94
1687040551212653389,6.94
1687040551213653775,6.94
1687040551214649783,6.94
1687040551215654277,6.94
1687040551216650696,6.94
1687040551217655009,6.94
1687040551218654143,6.94
1687040551219646143,6.94
1687040551220659484,6.94
1687040551221655492,6.94
1687040551222670936,6.94
1687040551223651806,6.94
1687040551224653204,6.94
1687040551225661254,6.94
1687040551226665287,6.94
1687040551227650655,6.94
1687040551228664887,6.94
1687040551229662218,6.94
1687040551230663966,6.94
1687040551231656488,6.94
1687040551232666111,6.94
1687040551233666517,6.94
1687040551234653809,6.94
1687040551235650007,6.94
1687040551236664630,6.94
1687040551237660087,6.94
1687040551238655934,6.94
1687040551239656451,6.94
1687040551240659732,6.94
1687040551241654127,6.94
1687040551242655605,6.94
1687040551243674877,6.94
1687040551244654544,6.94
1687040551245650542,6.94
1687040551246656859,6.94
1687040551247655653,6.94
1687040551248659115,6.94
1687040551249651766,6.94
1687040551250652162,6.94
1687040551251659341,6.94
1687040551252658475,6.94
1687040551253652920,6.94
1687040551254654939,6.94
1687040551255665003,6.94
1687040551256653948,6.94
1687040551257653242,6.94
1687040551258649200,6.94
1687040551259655958,6.94
1687040551260650553,6.94
1687040551261652733,6.94
1687040551262651025,6.94
1687040551263657242,6.94
1687040551264655554,6.94
1687040551265666550,6.94
1687040551266659563,6.94
1687040551267659588,6.94
1687040551268647471,6.94
1687040551269663075,6.94
1687040551270664313,6.94
1687040551271657446,6.94
1687040551272666899,6.94
1687040551273658509,6.94
1687040551274655919,6.94
1687040551275653029,6.94
1687040551276653395,6.94
1687040551277666565,6.94
1687040551278654157,6.94
1687040551279654774,6.94
1687040551280657835,6.94
1687040551281658091,6.94
1687040551282657155,6.94
1687040551283659985,6.94
1687040551284663367,6.94
1687040551285654816,6.94
1687040551286657337,6.94
1687040551287655709,6.94
1687040551288654632,6.94
1687040551289657874,6.94
1687040551290656396,6.94
1687040551291653015,6.94
1687040551292661727,6.94
1687040551293655351,6.94
1687040551294662840,6.94
1687040551295659028,6.94
1687040551296654275,6.94
1687040551297660131,6.94
1687040551298650639,6.94
1687040551299656034,6.94
1687040551300660228,6.94
1687040551301658249,6.94
1687040551302653436,6.94
1687040551303651948,6.94
1687040551304649850,6.94
1687040551305657219,6.94
1687040551306697029,6.94
1687040551307659805,6.94
1687040551308661163,6.94
1687040551309659545,6.94
1687040551310662246,6.94
