Time,Value
1687033496401846897,6.35
1687033496402794234,6.35
1687033496403782958,6.35
1687033496404792481,6.35
1687033496405800071,6.35
1687033496406793925,6.35
1687033496484798515,6.35
1687033496485788492,6.35
1687033496486793867,6.35
1687033496487783132,6.35
1687033496488793627,6.35
1687033496489792260,6.35
1687033496490788128,6.35
1687033496491786230,6.35
1687033496492796905,6.35
1687033496493792442,6.35
1687033496494788901,6.35
1687033496495785740,6.35
1687033496496785175,6.35
1687033496497789859,6.35
1687033496498784615,6.35
1687033496499787826,6.35
1687033496500784776,6.35
1687033496501793628,6.35
1687033496502789305,6.35
1687033496503789771,6.35
1687033496504791259,6.35
1687033496505780415,6.35
1687033496506790439,6.35
1687033496507786447,6.34
1687033496508787223,6.34
1687033496509791737,6.34
1687033496510802062,6.34
1687033496511788332,6.34
1687033496512791253,6.34
1687033496513791799,6.34
1687033496514787336,6.34
1687033496515788614,6.34
1687033496516787497,6.34
1687033496517793033,6.34
1687033496518791285,6.34
1687033496519786622,6.34
1687033496520786367,6.34
1687033496521791642,6.34
1687033496522791698,6.34
1687033496523784029,6.34
1687033496524790386,6.34
1687033496525789349,6.34
1687033496526788082,6.34
1687033496527780403,6.34
1687033496528786580,6.34
1687033496529779372,6.35
1687033496530786441,6.35
1687033496531789151,6.35
1687033496532792714,6.35
1687033496533782099,6.35
1687033496534788486,6.35
1687033496535789293,6.35
1687033496536790441,6.35
1687033496537791969,6.35
1687033496538786845,6.35
1687033496539786961,6.35
1687033496540786595,6.35
1687033496541783695,6.35
1687033496542789752,6.35
1687033496543785309,6.35
1687033496544793650,6.35
1687033496545784569,6.35
1687033496546788702,6.35
1687033496547781914,6.35
1687033496548788903,6.35
1687033496549788628,6.35
1687033496550787541,6.35
1687033496551793408,6.35
1687033496552789395,6.35
1687033496553781416,6.35
1687033496554787122,6.35
1687033496555783501,6.35
1687033496556792693,6.35
1687033496557784724,6.35
1687033496558788376,6.35
1687033496559793611,6.35
1687033496560785592,6.35
1687033496561790737,6.35
1687033496562790492,6.35
1687033496563786369,6.35
1687033496564787907,6.35
1687033496565788213,6.35
1687033496566788479,nan
1687033496569783206,6.35
1687033496570787649,6.35
1687033496571785992,6.35
1687033496572792670,6.35
1687033496573779440,6.35
1687033496574785467,6.35
1687033496575783118,6.35
1687033496576781500,6.35
1687033496577780664,6.35
1687033496578785378,6.35
1687033496579783711,6.35
1687033496580791531,6.35
1687033496581787258,6.35
1687033496582790169,6.35
1687033496583791106,6.35
1687033496584795059,6.35
1687033496585795285,6.35
1687033496586792395,6.35
1687033496587792350,6.34
1687033496588788228,6.34
1687033496589792331,6.34
1687033496590785664,6.34
1687033496591786601,6.34
1687033496592793289,6.34
1687033496593794627,6.34
1687033496594790324,6.34
1687033496595790410,6.34
1687033496596792990,6.34
1687033496597788657,6.34
1687033496598792881,6.34
1687033496599790852,6.34
1687033496600794885,6.34
1687033496601787998,6.34
1687033496602792572,6.34
1687033496603787968,6.35
1687033496604801920,6.35
1687033496605791917,6.35
1687033496606789758,6.34
1687033496607795464,6.34
1687033496608791252,6.34
1687033496609785606,6.34
1687033496610793086,6.34
1687033496611795025,6.35
1687033496612791223,6.35
1687033496613787562,6.35
1687033496614801123,6.35
1687033496615793954,6.35
1687033496616801043,6.35
1687033496617792372,6.35
1687033496618791586,6.35
1687033496619791111,6.35
1687033496620796767,6.35
1687033496621790821,6.35
1687033496622788823,6.35
1687033496623799168,6.35
1687033496624791368,6.35
1687033496625797716,6.35
1687033496626790588,6.35
1687033496627786836,6.35
1687033496628792722,6.35
1687033496629788300,6.35
1687033496630789708,6.35
1687033496631789813,6.35
1687033496632789378,6.35
1687033496633783081,6.35
1687033496634787535,6.35
1687033496635786308,6.35
1687033496636790812,6.35
1687033496637791208,6.35
1687033496638786856,6.35
1687033496639785268,6.35
1687033496640787167,6.35
1687033496641788705,6.35
1687033496642789051,6.35
1687033496643796761,6.35
1687033496644786437,6.35
1687033496645791672,6.35
1687033496646796717,6.35
1687033496647788748,6.35
1687033496648787461,6.35
1687033496649792285,6.35
1687033496650795386,6.35
1687033496651790332,6.35
1687033496652808321,6.35
1687033496653790403,6.34
1687033496654785630,6.34
1687033496655785304,6.34
1687033496656792784,6.34
1687033496657789724,6.34
1687033496658790761,6.34
1687033496659786959,6.34
1687033496660796342,6.34
1687033496661789986,6.34
1687033496662787026,6.34
1687033496663789586,6.34
1687033496664787808,6.34
1687033496665786330,6.34
1687033496666791085,6.34
1687033496667788495,6.34
1687033496668785074,6.34
1687033496669805478,6.34
1687033496670794322,6.34
1687033496671791392,6.34
1687033496672802929,6.34
1687033496673787937,6.34
1687033496674813139,6.34
1687033496675788809,6.34
1687033496676789796,6.34
1687033496677788770,6.34
1687033496678784908,6.34
1687033496679786176,6.34
1687033496680782625,6.34
1687033496681787569,6.34
1687033496682785200,6.34
1687033496683793591,6.34
1687033496684781735,6.35
1687033496685785136,6.35
1687033496686784821,6.35
1687033496687787982,6.35
1687033496688779542,6.35
1687033496689784847,6.35
1687033496690783871,6.35
1687033496691795148,6.35
1687033496692779844,6.35
1687033496693783547,6.35
1687033496694784233,6.35
1687033496695787304,6.35
1687033496696784925,6.35
1687033496697782737,6.35
1687033496698789194,6.35
1687033496699787256,6.35
1687033496700782282,6.35
1687033496701788028,6.35
1687033496702784367,6.35
1687033496703780144,6.35
1687033496704788014,6.35
1687033496705784523,6.35
1687033496706785080,6.35
1687033496707786107,6.35
1687033496708789198,6.35
1687033496709784986,6.35
1687033496710784190,6.35
1687033496711787081,6.35
1687033496712790352,6.35
1687033496713784707,6.35
1687033496714785113,6.35
1687033496715782273,6.35
1687033496716791897,6.35
1687033496717784408,6.35
1687033496718789222,6.35
1687033496719786042,6.35
1687033496720792189,6.35
1687033496721801261,6.35
1687033496722792630,6.35
1687033496723784080,6.35
1687033496724792230,6.35
1687033496725789952,6.35
1687033496726786220,6.35
1687033496727788039,6.35
1687033496728784738,6.35
1687033496729786827,6.35
1687033496730791221,6.35
1687033496731789714,6.35
1687033496732790240,6.35
1687033496733786508,6.35
1687033496734793036,6.35
1687033496735787210,6.35
1687033496736786034,6.35
1687033496737786801,6.35
1687033496738788219,6.35
1687033496739786841,6.35
1687033496740791385,6.34
1687033496741786021,6.35
1687033496742788731,6.35
1687033496743793576,6.35
1687033496744789814,6.34
1687033496745791623,6.34
1687033496746789504,6.34
1687033496747807854,6.34
1687033496748799514,6.34
1687033496749791023,6.34
1687033496750786130,6.34
1687033496751785213,6.35
1687033496752783726,6.35
1687033496753798850,6.35
1687033496754789407,6.35
1687033496755783512,6.35
1687033496756788547,6.35
1687033496757785416,6.35
1687033496758791483,6.34
1687033496759788763,6.34
1687033496760784761,6.34
1687033496761786329,6.35
1687033496762799690,6.35
1687033496763788214,6.35
1687033496764791716,6.35
1687033496765792412,6.35
1687033496766785415,6.35
1687033496767793796,6.35
1687033496768784283,6.35
1687033496769799527,6.35
1687033496770790887,6.35
1687033496771785332,6.35
1687033496772789865,6.35
1687033496773790702,6.35
1687033496774787782,6.35
1687033496775779863,6.35
1687033496776795708,6.35
1687033496777792618,6.35
1687033496778787263,6.35
1687033496779790434,6.35
1687033496780788927,6.35
1687033496781790325,6.35
1687033496782787996,6.35
1687033496783789685,6.35
1687033496784790592,6.35
1687033496785787531,6.35
1687033496786791154,6.35
1687033496787788414,6.35
1687033496788796935,6.35
1687033496789794085,6.35
1687033496790781968,6.35
1687033496791789988,6.35
1687033496792787369,6.35
1687033496793790190,6.35
1687033496794786678,6.35
1687033496795792194,6.35
1687033496796791538,6.35
1687033496797797675,6.35
1687033496798786039,6.35
1687033496799781917,6.35
1687033496800790067,6.35
1687033496801784081,6.35
1687033496802787002,6.35
1687033496803785144,6.35
1687033496804793515,6.35
1687033496805785105,6.35
1687033496806786814,6.35
1687033496807785436,6.35
1687033496808785021,6.35
1687033496809780919,6.35
1687033496810785132,6.35
1687033496811780138,6.35
1687033496812789852,6.35
1687033496813786050,6.35
1687033496814786757,6.35
1687033496815785109,6.35
1687033496816788701,6.35
1687033496817789328,6.35
1687033496818791066,6.35
1687033496819779610,6.35
1687033496820789735,6.35
1687033496821790451,6.35
1687033496822785998,6.35
1687033496823795051,6.35
1687033496824790939,6.35
1687033496825796524,6.35
1687033496826793695,6.35
1687033496827791726,6.35
1687033496828787524,6.35
1687033496829787830,6.35
1687033496830785471,6.35
1687033496831783462,6.35
1687033496832790070,6.35
1687033496833779856,6.35
1687033496834787045,6.35
1687033496835793493,6.35
1687033496836792196,6.35
1687033496837786480,6.35
1687033496838790463,6.35
1687033496839784387,6.35
1687033496840790073,6.35
1687033496841783396,6.35
1687033496842794663,6.35
1687033496843782656,6.35
1687033496844786679,6.35
1687033496845785402,6.35
1687033496846789485,6.35
1687033496847793327,6.35
1687033496848788033,6.35
1687033496849785824,6.35
1687033496850788605,6.35
1687033496851782288,6.35
1687033496852787754,6.35
1687033496853797227,6.35
1687033496854789508,6.35
1687033496855788982,6.35
1687033496856783117,6.35
1687033496857785096,6.35
1687033496858788548,6.35
1687033496859785978,6.35
1687033496860787517,6.35
1687033496861790057,6.35
1687033496862791595,6.35
1687033496863788855,6.35
1687033496864786957,6.35
1687033496865786081,6.35
1687033496866791236,6.35
1687033496867781223,6.35
1687033496868785807,6.35
